term,length,letterCount,numberCount,spaceCount,startsWithNumber,endsWithNumber,isPartNumber
.01uf 3kv,9,4,3,1,1,0,0
.01uf 50v cap,13,6,4,2,1,0,0
.01uf capacitor,15,11,2,1,1,0,0
.01uf high voltage capacitor,28,22,2,3,1,0,0
.02 ceramic,11,7,2,1,1,0,0
.022 capacitor,14,9,3,1,1,0,0
.022 film capacitors,20,14,3,2,1,0,0
.022 uf,7,2,3,1,1,0,0
.022 uf axial,13,7,3,2,1,0,0
.022uf,6,2,3,0,1,0,0
.02uf,5,2,2,0,1,0,0
.032 rosin core solder,22,15,3,3,1,0,0
.039uf 50v,10,3,5,1,1,0,0
.03uf,5,2,2,0,1,0,0
.047 600v,9,1,6,1,1,0,0
.047 600v,9,1,6,1,1,0,0
.047 capacitor,14,9,3,1,1,0,0
.047 capacitor 16v,18,10,5,2,1,0,0
.047 capacitor film type 16v,28,18,5,4,1,0,0
.047 ceramic,12,7,3,1,1,0,0
.047uf,6,2,3,0,1,0,0
.05 ohms resistor smd,21,15,2,3,1,0,0
.050 socket,11,6,3,1,1,0,0
.062 female,11,6,3,1,1,0,0
.068 400v,9,1,6,1,1,0,0
.068mfd 330vac,14,6,6,1,1,0,0
.07036 mf,9,2,5,1,1,0,0
.080 pin extraction tool,24,17,3,3,1,0,0
.093 male terminations,22,16,3,2,1,0,0
.1 header strip,15,11,1,2,1,0,0
.1 headers,10,7,1,1,1,0,0
.1 mfd cap,10,6,1,2,1,0,0
.1 ohm resistor,15,11,1,2,1,0,0
.1 ra header,12,8,1,2,1,0,0
.1 uf,5,2,1,1,1,0,0
.1 uf capacitor,15,11,1,2,1,0,0
.1 uf ceramic,13,9,1,2,1,0,0
.1 uf film,10,6,1,2,1,0,0
.1 female header,16,12,1,2,1,0,0
.1 flat wire,12,8,1,2,1,0,0
.1 header,9,6,1,1,1,0,0
.1 pcb header,13,9,1,2,1,0,0
.1 thin film resistor,21,16,1,3,1,0,0
.100 connector right angle,26,19,3,3,1,0,0
.100 header,11,6,3,1,1,0,0
.14k,4,1,2,0,1,0,0
.150nf,6,2,3,0,1,0,0
.156 4p,7,1,4,1,1,0,0
.156 connector,14,9,3,1,1,0,0
.156 female,11,6,3,1,1,0,0
.15uf axial film,16,11,2,2,1,0,0
.1f capacitor,13,10,1,1,1,0,0
.1uf,4,2,1,0,1,0,0
.1uf 0603,9,2,5,1,1,1,0
.1uf 100v,9,3,4,1,1,0,0
.1uf 200vdc,11,5,4,1,1,0,0
.1uf 25v,8,3,3,1,1,0,0
.1uf 50v caps,13,7,3,2,1,0,0
.1uf 600v,9,3,4,1,1,0,0
.1uf 630v axial,15,8,4,2,1,0,0
.1uf cap,8,5,1,1,1,0,0
.1uf cap 0402,13,5,5,2,1,1,0
.1uf cdet,9,6,1,1,1,0,0
.1uf ceramic,12,9,1,1,1,0,0
.1uf polypropylene,18,15,1,1,1,0,0
.20uf,5,2,2,0,1,0,0
.22 capacitor,13,9,2,1,1,0,0
.22 uf,6,2,2,1,1,0,0
.22f supercap 3.3v,18,10,4,2,1,0,0
.22uf,5,2,2,0,1,0,0
.22uf 16v,9,3,4,1,1,0,0
.22uf 400v,10,3,5,1,1,0,0
.22uf 400v capacitor,20,12,5,2,1,0,0
.22uf 50v,9,3,4,1,1,0,0
.22uf 600v,10,3,5,1,1,0,0
.22uf mkp,9,5,2,1,1,0,0
.22uf smt,9,5,2,1,1,0,0
.24 ohm,7,3,2,1,1,0,0
.24 ohms,8,4,2,1,1,0,0
.25  ribbon cable,17,11,2,3,1,0,0
.25 ohms film resistors,23,17,2,3,1,0,0
.25 watt resistor,17,12,2,2,1,0,0
.25uf,5,2,2,0,1,0,0
.27uf,5,2,2,0,1,0,0
.27uf axial,11,7,2,1,1,0,0
.27uf film,10,6,2,1,1,0,0
.2p 0201 accu,13,5,5,2,1,0,0
.2uf,4,2,1,0,1,0,0
.2uf 250v  smd,14,6,4,3,1,0,0
.3 ohms,7,4,1,1,1,0,0
.33 ohms,8,4,2,1,1,0,0
.33 uf 50v,10,3,4,2,1,0,0
.33ohm sm,9,5,2,1,1,0,0
.33uf,5,2,2,0,1,0,0
.33uf 50v,9,3,4,1,1,0,0
.33uf capacitor,15,11,2,1,1,0,0
.33uf ceramic,13,9,2,1,1,0,0
.39ohm,6,3,2,0,1,0,0
.3c6h4ms,8,4,3,0,1,0,1
.47 200v,8,1,5,1,1,0,0
.47 uf tantalum,15,10,2,2,1,0,0
.47k,4,1,2,0,1,0,0
.47uf,5,2,2,0,1,0,0
.47uf 250volts 5,16,7,6,2,1,1,0
.47uf 50v,9,3,4,1,1,0,0
.47uf radial electrolytic,25,20,2,2,1,0,0
.47uf safety cap,16,11,2,2,1,0,0
.4p 0201 accu,13,5,5,2,1,0,0
.5 microfarad 1500vdc capacitors,32,23,5,3,1,0,0
.5 ohm,6,3,1,1,1,0,0
.5 ohm resistor,15,11,1,2,1,0,0
.5 uf audio cap,15,10,1,3,1,0,0
.5 uf cap,9,5,1,2,1,0,0
.5 watt resistor,16,12,1,2,1,0,0
.5300zcf0330ff2c,16,6,9,0,1,0,1
.5a 5 x 20 fuse,15,6,4,4,1,0,0
.5a positive voltage regulator,30,25,1,3,1,0,0
.5uf,4,2,1,0,1,0,0
.62mm,5,2,2,0,1,0,0
.68uf 25v,9,3,4,1,1,0,0
.6p 0201 accu,13,5,5,2,1,0,0
.75 fuse,8,4,2,1,1,0,0
.7p 0201 accu,13,5,5,2,1,0,0
.82 ohm resistor,16,11,2,2,1,0,0
.bt134,6,2,3,0,0,1,1
.m1893,6,1,4,0,0,1,1
.mje15032,9,3,5,0,0,1,1
.nh243.6 linear power supply,28,19,4,3,0,0,0
10897141,10,0,10,0,1,1,1
3E+14,16,0,16,0,1,1,1
30377,6,0,6,0,1,1,1
0407001.wra,11,3,7,0,1,0,1
9120053001,11,0,11,0,1,1,1
9330006102,11,0,11,0,1,1,1
9562615712,11,0,11,0,1,1,1
9990000370,11,0,11,0,1,1,1
139kat1,7,3,4,0,1,1,1
151660093,9,0,9,0,1,1,1
15659174,8,0,8,0,1,1,1
1881480,7,0,7,0,1,1,1
1n4007,6,1,5,0,1,1,1
1smb5918bt3g,12,6,6,0,1,0,1
25201932,8,0,8,0,1,1,1
2pin smd female header 0.1 spacing,34,25,3,5,1,0,0
2509865,7,0,7,0,1,1,1
38266346,8,0,8,0,1,1,1
471554001,9,0,9,0,1,1,1
526806,6,0,6,0,1,1,1
532610271,9,0,9,0,1,1,1
6.33E+11,12,0,12,0,1,1,1
6.88E+11,12,0,12,0,1,1,1
700tmc5130abob,14,7,7,0,1,0,1
74hc32bq,8,4,4,0,1,0,1
755esr18ezpf1004,16,7,9,0,1,1,1
80sxv56m,8,4,4,0,1,0,1
81grm188r61a106ke9d,19,8,11,0,1,0,1
824ms583902ba36,15,4,11,0,1,1,1
8.6E+11,12,0,12,0,1,1,1
8.6E+11,12,0,12,0,1,1,1
8.65E+11,12,0,12,0,1,1,1
878312828,9,0,9,0,1,1,1
acm15135512pltlhf,17,9,8,0,0,0,1
acs770lcb,9,6,3,0,0,0,1
ada40042arzr7,13,7,6,0,0,1,1
adg701lbrtz,11,8,3,0,0,0,1
adr444armz,10,7,3,0,0,0,1
ap2331sa7,9,4,5,0,0,1,1
ap711525seg,11,5,6,0,0,0,1
bss84215,8,3,5,0,0,1,1
buk7m1260ex,11,6,5,0,0,0,1
c0402c331k5rac,14,6,8,0,0,0,1
c0805c105k5ractu,16,8,8,0,0,0,1
c1005jb1e105m050bc,18,7,11,0,0,0,1
c3216x5r1a107m160ac,19,7,12,0,0,0,1
cc0402jrx7r7bb104,17,8,9,0,0,1,1
cga4j1x8r1e684k125ac,20,10,10,0,0,0,1
cl05a475mp5nrnc,15,9,6,0,0,0,1
cl10a106ma8nrnc,15,9,6,0,0,0,1
cl21c102jbcnnnc,15,10,5,0,0,0,1
cny174,6,3,3,0,0,1,1
cpdur12v0uhf,12,9,3,0,0,0,1
cr0603fx22r0hlf,15,8,7,0,0,0,1
crcw040210k0fked,16,9,7,0,0,0,1
crcw0402196rfked,16,9,7,0,0,0,1
crcw04022k40,12,5,7,0,0,1,1
crcw040247r0,12,5,7,0,0,1,1
crcw06033k09fkea,16,9,7,0,0,0,1
cyt2b77badq0azegs,17,13,4,0,0,0,1
d09s24a4gv00lf,14,7,7,0,0,0,1
d6t,3,2,1,0,0,0,1
east1616rgba8,13,8,5,0,0,1,1
erj12zyj270u,12,7,5,0,0,0,1
erj14nf1002u,12,6,6,0,0,0,1
erj14nf7320u,12,6,6,0,0,0,1
hi0805r800r10,13,4,9,0,0,1,1
hsp0514m10,10,4,6,0,0,1,1
ina851,6,3,3,0,0,1,1
ipoe17195w industrial singleport multigigabit 802.3bt poe injector,66,50,9,6,0,0,0
iwr6843,7,3,4,0,0,1,1
jnfutvaf06v,11,9,2,0,0,0,1
lkls7ts12067.3180t,18,7,10,0,0,0,1
lfcn1800d,9,5,4,0,0,0,1
lgx2d102melc30,14,8,6,0,0,1,1
lm1117mpx33nopbsot230p700x1,27,14,13,0,0,1,1
lm4040cim35,11,5,6,0,0,1,1
lmk316bj476mlt,14,8,6,0,0,0,1
lmk325bj107mmt,14,8,6,0,0,0,1
lsm303ahtr,10,7,3,0,0,0,1
lt3467aiddb,11,7,4,0,0,0,1
ltsat680uhet1,13,9,4,0,0,1,1
lw q38eq1oo3k6l,15,9,5,1,0,0,1
max17624ata t,13,7,5,1,0,0,1
max485csa,9,6,3,0,0,0,1
max6070aaut30,13,7,6,0,0,1,1
mbr0540,7,3,4,0,0,1,1
mcp9600temx,11,7,4,0,0,0,1
mmbt3904215,11,4,7,0,0,1,1
mmbta42215,10,5,5,0,0,1,1
nsvr201mxt5g,12,8,4,0,0,0,1
nx2016sa24mhzexs00acs10820,26,13,13,0,0,1,1
pad2,4,3,1,0,0,1,1
pds1s3s5mtr,11,8,3,0,0,0,1
pmeg4010bea115,14,7,7,0,0,1,1
ptvs6v0s1ur115,14,8,6,0,0,1,1
rc0201fr07100rl,15,6,9,0,0,0,1
rc0402fr070rl,13,6,7,0,0,0,1
rc0402fr131kl,13,6,7,0,0,0,1
rc0603fr071k07l,15,6,9,0,0,0,1
rc0603jr070rl,13,6,7,0,0,0,1
rhfac04d03v,11,7,4,0,0,0,1
rk73h1jttdd1502f,16,9,7,0,0,0,1
rn73h1ettp1000f50,17,8,9,0,0,1,1
rs1msma,7,6,1,0,0,0,1
rt0603bre0750rl,15,7,8,0,0,0,1
rt0805fre134k7l,15,7,8,0,0,0,1
smaj16ca,8,6,2,0,0,0,1
smbta92e6327htsa1,17,10,7,0,0,1,1
sn65c3232edbr,13,7,6,0,0,0,1
sn65hvd10d,10,6,4,0,0,0,1
spm6530t3r3m,12,6,6,0,0,0,1
srn3015100m,11,4,7,0,0,0,1
srr1260220m,11,4,7,0,0,0,1
stm32f407vet6,13,7,6,0,0,1,1
stpmic1apqr,11,10,1,0,0,0,1
tc4469coe,9,5,4,0,0,0,1
tlc555cd,8,5,3,0,0,0,1
tlv70433dbv,11,6,5,0,0,0,1
tph9r00cqhlq,12,9,3,0,0,0,1
tps77133,8,3,5,0,0,1,1
ukl1a101ked1td,14,9,5,0,0,0,1
vkme1451h331mv,14,7,7,0,0,0,1
xc8852,6,2,4,0,0,1,1
25lc256hsn,10,5,5,0,1,0,1
25shb02tr,9,5,4,0,1,0,1
784777331,9,0,9,0,1,1,1
a768eb476m1elae042,18,8,10,0,0,1,1
aisc0603r018jt,14,7,7,0,0,0,1
c0603c333j4rec7411,18,6,12,0,0,1,1
c1206c105k5ractu,16,8,8,0,0,0,1
crf2512jzr010elf,16,9,7,0,0,0,1
de2465730,9,2,7,0,0,1,1
edzvt2r5.6b,11,7,3,0,0,0,1
erj3geyj273v,12,8,4,0,0,0,1
erjpa3j204v,11,7,4,0,0,0,1
esr18ezpj121,12,7,5,0,0,1,1
mp9486agnz,10,6,4,0,0,0,1
pv36w104c01b00,14,5,9,0,0,1,1
r5f104baafp,11,7,4,0,0,0,1
processor i910900e 10th gen. processor ram 16gb ddr4 memory hdd 1 tb sata windows enterprise 10 ltsb 64 bit o.s 19 rack mount aux. supply 230v ac 10v 50hz ps 400watt with keyboard mouse ports rj452 4xusb 2xserial1xvga1xdvddrive 1x4g graphics card,246,166,37,40,0,0,0
9483055,10,0,10,0,1,1,1
100 30,6,0,5,1,1,1,1
1000uf 63v,10,3,6,1,1,0,0
10k 14,6,1,4,1,1,1,0
12105c16kat2a,13,5,8,0,1,0,1
20 20v,6,1,4,1,1,0,0
3.5 mm mono jack,16,10,2,3,1,0,0
618 009 231 321,15,0,12,3,1,1,1
745ttc838 solder tip 838soldering irons cartridge chisel 1.35mm 0.053 in 30 deg,79,48,18,11,1,0,0
764 m55342k12b45d0rwsvnd,24,10,13,1,1,0,1
9265222,7,0,7,0,1,1,1
apex tool group,15,13,0,2,0,0,0
cap 26 mm,9,5,2,2,0,0,0
ceramic capacitor 30pf 5 0805,29,18,7,4,0,1,0
crcw06034r64fkeahp,18,11,7,0,0,0,1
dr 25 380sp from te connectivity,32,22,5,5,0,0,0
erj6enf2400v,12,7,5,0,0,0,1
ethernet jack panelmount amphenol pn rcp5spffhscm7001,53,43,5,5,0,1,0
ffg.2b.312,10,4,4,0,0,1,1
ffg.2b.318,10,4,4,0,0,1,1
ffg.3b.302,10,4,4,0,0,1,1
ffg.3b.316,10,4,4,0,0,1,1
ffg.3b.318,10,4,4,0,0,1,1
gjm1555c1h3r3bb01,17,8,9,0,0,1,1
gjm1555c1h5r6bb01,17,8,9,0,0,1,1
high current dc power jacks,27,23,0,4,0,0,0
lqw15an3n5b8z,13,8,5,0,0,0,1
pag.m0.4gl,10,6,2,0,0,0,1
pr 20,5,2,2,1,0,1,1
r27nr1150nsb,12,6,6,0,0,0,1
rk73h2bttd3300f,15,8,7,0,0,0,1
rs485,5,2,3,0,0,1,1
terminals copper mech lug,25,22,0,3,0,0,0
tlp185gbtpreo,13,10,3,0,0,0,1
yc324jk0710kl,13,6,7,0,0,0,1
1pypn7150b0hnc11002e,20,9,11,0,1,0,1
4751206,7,0,7,0,1,1,1
539th17,7,2,5,0,1,1,1
f13seh053100wf,14,6,8,0,0,0,1
is25wp064ajble,14,9,5,0,0,0,1
lm8261m5,8,3,5,0,0,1,1
lmk107bj105kaht,15,9,6,0,0,0,1
mouser 279yr1b49r9cc,20,12,7,1,0,0,0
ms27473,7,2,5,0,0,1,1
no2 gas sensor,14,11,1,2,0,0,0
rnf100316bksp,13,7,6,0,0,0,1
rohs,4,4,0,0,0,0,0
tantalum,8,8,0,0,0,0,0
1513 emre altunta megasan elektronik a.. 65756705005  50 adet,61,33,17,9,1,0,0
component 09503061,18,9,8,1,0,1,1
ncp1117lpst33t3g,16,9,7,0,0,0,1
rt0603fre0710kl,15,7,8,0,0,0,1
104,4,0,4,0,1,1,1
0217001.mxp,11,3,7,0,1,0,1
10221747,8,0,8,0,1,1,1
1428,4,0,4,0,1,1,1
2.06p,5,1,3,0,1,0,1
20007015,8,0,8,0,1,1,1
22245,5,0,5,0,1,1,1
22255,5,0,5,0,1,1,1
23842,5,0,5,0,1,1,1
2404,4,0,4,0,1,1,1
2879,4,0,4,0,1,1,1
2n60,4,1,3,0,1,1,1
38091,5,0,5,0,1,1,1
3809,4,0,4,0,1,1,1
3842,4,0,4,0,1,1,1
4057,4,0,4,0,1,1,1
6525,4,0,4,0,1,1,1
74hct244,8,3,5,0,1,1,1
78l08,5,1,4,0,1,1,1
hh20007015,10,2,8,0,0,1,1
il300,5,2,3,0,0,1,1
lm117,5,2,3,0,0,1,1
lvc3g17,7,4,3,0,0,1,1
m2430825,8,1,7,0,0,1,1
m3902958360,11,1,10,0,0,1,1
r4550,5,1,4,0,0,1,1
sfprj45,7,5,2,0,0,1,1
stm32f103 bga,13,7,5,1,0,0,1
ltc4380ims4,11,6,5,0,0,1,1
12v power,9,6,2,1,1,0,0
9140173001,11,0,11,0,1,1,1
adr130bujzr2,12,8,4,0,0,1,1
bc846b,6,3,3,0,0,0,1
cc0805kkx5r7bb106,17,8,9,0,0,1,1
era3aeb102v,11,7,4,0,0,0,1
is25lp512mjlla3,15,9,6,0,0,1,1
max1672,7,3,4,0,0,1,1
mmal011290,10,4,6,0,0,1,1
h071tl,6,3,3,0,0,0,1
ss8050g,7,3,4,0,0,0,1
5.38E+11,12,0,12,0,1,1,1
7400006,7,0,7,0,1,1,1
cisco meraki mr86 ap,20,15,2,3,0,0,0
ct3753,6,2,4,0,0,1,1
ina321,6,3,3,0,0,1,1
inductorless dcdc converter,27,25,0,2,0,0,0
jantxv1n6109a,13,8,5,0,0,0,1
mc74hc157an,11,6,5,0,0,0,1
s9s12g128f0mlh,14,7,7,0,0,0,1
sn74hc32n,9,5,4,0,0,0,1
vs3ejh01m3,10,6,4,0,0,1,1
3.5E+15,16,0,16,0,1,1,1
jbxfh0g07mssdsr,15,12,3,0,0,0,1
varistor,8,8,0,0,0,0,0
0402 1uf,8,2,5,1,1,0,0
10 1uf x7r 5mm 50v,18,7,7,4,1,0,0
15v,3,1,2,0,1,0,0
2130830005,10,0,10,0,1,1,1
desd1can2soq7,13,10,3,0,0,1,1
150.86,6,0,5,0,1,1,1
0 100v indicator,16,10,4,2,1,0,0
0 392 024 078,13,0,10,3,1,1,1
0 501 324 622 a,15,1,10,4,1,0,1
0 db attenuator,15,12,1,2,1,0,0
0 ohm,5,3,1,1,1,0,0
0 ohm 0402,10,3,5,2,1,1,0
0 ohm 0603,10,3,5,2,1,1,0
0 ohm 0805,10,3,5,2,1,1,0
0 ohm 14w 1,11,4,4,3,1,1,0
0 ohm 1206 5,12,3,6,3,1,1,0
0 ohm resistor,14,11,1,2,1,0,0
0 ohm resistor 0603,19,11,5,3,1,1,0
0 ohms,6,4,1,1,1,0,0
0 ohms 0.1,10,4,3,2,1,1,0
0 ohms 0402,11,4,5,2,1,1,0
0 ohms 0603,11,4,5,2,1,1,0
0 ohms 0805,11,4,5,2,1,1,0
369160,9,0,9,0,1,1,1
1301020,9,0,9,0,1,1,1
1606552,9,0,9,0,1,1,1
1738514,9,0,9,0,1,1,1
1749221,9,0,9,0,1,1,1
2820871,9,0,9,0,1,1,1
3452121,9,0,9,0,1,1,1
3494662,9,0,9,0,1,1,1
3507361,9,0,9,0,1,1,1
9278462,9,0,9,0,1,1,1
9637151,9,0,9,0,1,1,1
9642672,9,0,9,0,1,1,1
11064051,9,0,9,0,1,1,1
11233432,9,0,9,0,1,1,1
12419782,9,0,9,0,1,1,1
13758191,9,0,9,0,1,1,1
13933641,9,0,9,0,1,1,1
15790071,9,0,9,0,1,1,1
1607434,8,0,8,0,1,1,1
16701441,9,0,9,0,1,1,1
16701443,9,0,9,0,1,1,1
16708981,9,0,9,0,1,1,1
17038102,9,0,9,0,1,1,1
17401982,9,0,9,0,1,1,1
17436362,9,0,9,0,1,1,1
0180 9410,9,0,8,1,1,1,1
20660463,9,0,9,0,1,1,1
21122911,9,0,9,0,1,1,1
21416481,9,0,9,0,1,1,1
22088561,9,0,9,0,1,1,1
23069281,9,0,9,0,1,1,1
23599301,9,0,9,0,1,1,1
2816998,8,0,8,0,1,1,1
2817845,8,0,8,0,1,1,1
2820871,8,0,8,0,1,1,1
28223461,9,0,9,0,1,1,1
04000 psi,9,3,5,1,1,0,0
43616,6,0,6,0,1,1,1
9364182,8,0,8,0,1,1,1
9364182,8,0,8,0,1,1,1
9588721,8,0,8,0,1,1,1
9639043,8,0,8,0,1,1,1
0phe450sd5470,13,5,8,0,1,1,1
0047uf 800v,11,3,7,1,1,0,0
005uf,5,2,3,0,1,0,0
00625w cay16510j4lf,19,7,11,1,1,0,1
010uf,5,2,3,0,1,0,0
01ohm 1 r1218,13,4,7,2,1,1,0
01uf,4,2,2,0,1,0,0
01uf 16kv 1600v,15,5,8,2,1,0,0
01ufc060350vx7r10,17,6,11,0,1,1,1
022uf,5,2,3,0,1,0,0
375,4,0,4,0,1,1,1
0.0.473.62,10,0,7,0,1,1,1
0.001 ohm,9,3,4,1,1,0,0
0.0015uf capacitor,18,11,5,1,1,0,0
0.001uf,7,2,4,0,1,0,0
0.001uf 100v 10 film,20,7,9,3,1,0,0
0.002 ohm 2512,14,3,8,2,1,1,0
0.0033uf 630v,13,3,8,1,1,0,0
0.0047uf 630v,13,3,8,1,1,0,0
0.005pf,7,2,4,0,1,0,0
0.005uf,7,2,4,0,1,0,0
0.009 resistor,14,8,4,1,1,0,0
0.01 5w resistor,16,9,4,2,1,0,0
0.01 ohm,8,3,3,1,1,0,0
0.01 ohm resistor,17,11,3,2,1,0,0
0.01 ohm smd,12,6,3,2,1,0,0
0.01 ohmite,11,6,3,1,1,0,0
0.01 ohms 0805,14,4,7,2,1,1,0
0.01 wima,9,4,3,1,1,0,0
0.01 resistor,13,8,3,1,1,0,0
0.015 uf radial film capacitors,31,22,4,4,1,0,0
0.015uf 0805,12,2,8,1,1,1,0
0.015uf ceramic capacitor radial,32,24,4,3,1,0,0
0.018uf,7,2,4,0,1,0,0
0.01ohm 2512,12,3,7,1,1,1,0
0.01ohm 5w,10,4,4,1,1,0,0
0.01r 0805,10,1,7,1,1,1,1
0.01u 0805,10,1,7,1,1,1,1
0.01u 1kv,9,3,4,1,1,0,0
0.01uf,6,2,3,0,1,0,0
0.01uf 0201,11,2,7,1,1,1,0
0.01uf 0805,11,2,7,1,1,1,0
0.01uf 1 0805,13,2,8,2,1,1,0
0.01uf 1000v capacitor,22,12,7,2,1,0,0
0.01uf 100v,11,3,6,1,1,0,0
0.01uf 2kv capacitor,20,13,4,2,1,0,0
0.01uf 3kv,10,4,4,1,1,0,0
0.01uf 50v,10,3,5,1,1,0,0
0.01uf 630v mkp,15,6,6,2,1,0,0
0.01uf 630vdc mkp,17,8,6,2,1,0,0
0.01uf film,11,6,3,1,1,0,0
0.01uf film capacitor 1kv,25,17,4,3,1,0,0
0.01f capacitor,15,10,3,1,1,0,0
0.02 ohms,9,4,3,1,1,0,0
0.02 ohms 1,11,4,4,2,1,1,0
0.022 0402,10,0,8,1,1,1,1
0.022mf capacitor,17,11,4,1,1,0,0
0.022u 50v,10,2,6,1,1,0,0
0.022uf 1000v,13,3,8,1,1,0,0
0.022uf 50v 5 0603 x7r,22,5,12,4,1,0,0
0.022uf100v,11,3,7,0,1,0,1
0.025 ohm,9,3,4,1,1,0,0
0.02ohm 1w,10,4,4,1,1,0,0
0.02uf 0805,11,2,7,1,1,1,0
0.03 ohm,8,3,3,1,1,0,0
0.03 ohm 0603,13,3,7,2,1,1,0
0.033uf 630v,12,3,7,1,1,0,0
0.033uf50v,10,3,6,0,1,0,0
0.039uf,7,2,4,0,1,0,0
0.047 polypropylene 5mm,23,15,5,2,1,0,0
0.047f,6,1,4,0,1,0,1
0.047f 5.5v,11,2,6,1,1,0,0
0.047uf,7,2,4,0,1,0,0
0.047uf 0805,12,2,8,1,1,1,0
0.047uf 200v,12,3,7,1,1,0,0
0.047uf 275vac 10 bulk pack,27,13,9,4,1,0,0
0.047uf 630v,12,3,7,1,1,0,0
0.047uf 800v,12,3,7,1,1,0,0
0.047uf50v 10x7raecq200c0402,28,10,16,1,1,1,1
0.05 capacitor,14,9,3,1,1,0,0
0.05 ohm,8,3,3,1,1,0,0
0.05 ohm power resistor,23,16,3,3,1,0,0
0.05 ohm resistor,17,11,3,2,1,0,0
0.05 pitch,10,5,3,1,1,0,0
0.05 header,11,6,3,1,1,0,0
0.050 tiger eye idc,19,11,4,3,1,0,0
0.051 ohms,10,4,4,1,1,0,0
0.056 100v,10,1,7,1,1,0,0
0.056uf,7,2,4,0,1,0,0
0.056uf 100v,12,3,7,1,1,0,0
